URL,Station de service,Ville,Adresse,Coordinates,Energies,Lavage,Paiement,Produits & Services,Services,Club TotalEnergies,Truck,H2 Conversion
https://store.totalenergies.fr/fr_FR/NF059116,RELAIS SERIGUETTE,AIMARGUES,"2 bis. ROUTE DE LA PETITE CAMARGUE  , 30470 AIMARGUES, FRANCE","43.6961378,4.2007447","AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, SP95 e10, GNR, ",,"Routex, UTA, DKV, Mobility de TotalEnergies, MOL, American Express, Mastercard, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, Aral, ","AdBlue Truck, ","Café, Justbip, Wifi, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Truck, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF080036,RELAIS DEVEZE,BEZIERS,"1 AVENUE DE LA DEVEZE  , 34500 BEZIERS, FRANCE","43.33150089999999,3.2474023","AdBlue Truck, Super Ethanol e85, Excellium 98, Excellium Diesel, Diesel, SP95 e10, ","Lavage Haute Pression, Aspirateur, Lavage à Rouleaux, ","UTA, Carte Jubileo, MOL, Carte Wash, American Express, DKV, Mastercard, Eurotrafic, Visa, Carte Club TotalEnergies, Aral, Routex, Mobility de TotalEnergies, ","AdBlue Truck, ","FDJ, Café, Lavage à Rouleaux, Justbip, Gonflage, Wifi, AdBlue bidon, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Truck, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF080198,RELAIS SAINT MATHURIN,ALLONNE,"ZAC SAINT MATHURIN - RD 1001  , 60000 ALLONNE, FRANCE","49.409445,2.12815","Borne DC175 kW, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, Super Ethanol e85, SP95 e10, GNR, ","Aspirateur, Lavage à Rouleaux, ","Visa, American Express, Mastercard, Eurotrafic, Carte Jubileo, Carte Club TotalEnergies, MOL, DKV, Mobility de TotalEnergies, UTA, Aral, Carte Wash, Routex, ","AdBlue Truck, ","Café, Lavage à Rouleaux, Gonflage, Wifi, Justbip, ","Assistance Club 10 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Truck, Pompes PL, ",1
https://store.totalenergies.fr/fr_FR/NF080197,REL.LORRAINE LES RAPPES,SANDAUCOURT,"AUT.A31-LORRAINE LES RAPPES  , 88170 SANDAUCOURT, FRANCE","48.2659392,5.863884","Borne AC43/DC50 kW, Borne DC175 kW, SP95 e10, Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, Excellium Grand Froid, AdBlue Truck, ",,"Mobility de TotalEnergies, Carte Jubileo, Carte Club TotalEnergies, American Express, MOL, DKV, Mastercard, Eurotrafic, UTA, Visa, Aral, Routex, ","AdBlue Truck, ","Défibrillateur, Café, Wifi, Autoroutière, Toilettes, Gonflage, Click & Collect Lyf, Justbip, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, ","Truck, Pompes PL, ",0
https://store.totalenergies.fr/fr_FR/NF058916,REL.MORAINVILLIERS NORD,MORAINVILLIERS,"A13 - AIRE DE MORAINVILLIERS NORD  , 78630 MORAINVILLIERS, FRANCE","48.9411429,1.9543387","Diesel, GPL, SP95 e10, Excellium 98, GNR, Excellium Diesel, AdBlue Truck, Super Ethanol e85, ",,"Mobility de TotalEnergies, MOL, American Express, DKV, Mastercard, Eurotrafic, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, Routex, Aral, ","AdBlue Truck, ","Click & Collect Lyf, Toilettes, Défibrillateur, Autoroutière, Justbip, Gonflage, Wifi, Café, AdBlue bidon, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Adhésion station, Jauge Cadeau, Carte Club acceptée, Club Bus, ","Truck, Parking PL, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF040353,REL. CRETEIL A86,CRETEIL,"A86 CARREFOUR POMPADOUR  , 94000 CRETEIL, FRANCE","48.7776314,2.4408508","AdBlue Truck, Excellium Diesel, Excellium 98, Super Ethanol e85, Diesel, GPL, SP95 e10, ",,"Mobility de TotalEnergies, MOL, DKV, Eurotrafic, Visa, Carte Jubileo, Carte Club TotalEnergies, Routex, American Express, Mastercard, UTA, Aral, ","AdBlue Truck, ","Défibrillateur, Toilettes, Boutique, Café, Justbip, Gonflage, AdBlue bidon, Wifi, ","Jauge Cadeau, Assistance Club 10 Jours, Adhésion station, Carte Club acceptée, ","Truck, Parking PL, Truck store, ",0
https://store.totalenergies.fr/fr_FR/NF080155,REL.LIMOURS JANVRY,JANVRY,"A10 AIRE DE LIMOURS JANVRY  , 91640 JANVRY, FRANCE","48.6371317,2.1488045","Borne DC175 kW, AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, GPL, Super Ethanol e85, SP95 e10, ","Aspirateur, Lavage à Rouleaux, ","American Express, DKV, Mastercard, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, MOL, Eurotrafic, Aral, Routex, Mobility de TotalEnergies, ","AdBlue Truck, ","Défibrillateur, Autoroutière, Lavage à Rouleaux, Café, Click & Collect Lyf, Scan, Pay & Go Lyf Pay, Justbip, Toilettes, Gonflage, Wifi, AdBlue bidon, ","Assistance Club 30 Jours, Club Truck, Cagnotte TotalEnergies, Jauge Cadeau, Adhésion station, Carte Club acceptée, Club Bus, ","Truck, Parking PL, Truck store, ",1
https://store.totalenergies.fr/fr_FR/NF077385,SARL S.B.H,FUVEAU,"LIEUDIT ST-CHARLES CD6 RTE TRETS  , 13710 FUVEAU, FRANCE","43.460804,5.606396999999999","Super Ethanol e85, AdBlue Truck, GNR, Excellium 98, Excellium Diesel, Diesel, GPL, SP95 e10, ","Lavage Haute Pression, Aspirateur, Lavage à Rouleaux, ","Carte Wash, UTA, Visa, Carte Jubileo, Carte Club TotalEnergies, DKV, Mastercard, Eurotrafic, Routex, MOL, American Express, Mobility de TotalEnergies, Aral, ","AdBlue Truck, ","Café, Lavage à Rouleaux, Toilettes, Gonflage, Wifi, AdBlue bidon, Espace Pro, ","Club Truck, Assistance Club 30 Jours, Jauge Cadeau, Cagnotte TotalEnergies, Adhésion station, Carte Club acceptée, ","Truck, Brosse Pare-Brise PL, ",0
https://store.totalenergies.fr/fr_FR/NF070001,GARAGE COURTOIS,CERNAY,"FAUBOURG DE BELFORT  , 68700 CERNAY, FRANCE","47.7925799,7.171125","Excellium Grand Froid, Excellium 98, Excellium Diesel, Diesel, SP95 e10, ","Lavage à Rouleaux, ","Mastercard, Eurotrafic, UTA, American Express, DKV, Visa, Carte Jubileo, Carte Club TotalEnergies, MOL, Mobility de TotalEnergies, Routex, Aral, ",,"Lavage à Rouleaux, Toilettes, Wifi, ","Club Truck, Assistance Club 30 Jours, Jauge Cadeau, Carte Club acceptée, Cagnotte TotalEnergies, ","Truck, ",0
https://store.totalenergies.fr/fr_FR/NF021142,SARL MACON MONDEVILLE,MONDEVILLE,"8 AVENUE PIERRE MENDES FRANCE  , 14120 MONDEVILLE, FRANCE","49.1719552,-0.3301914","AdBlue Truck, Excellium 98, Excellium Diesel, Diesel, Fioul Premier, Super Ethanol e85, SP95 e10, ","Lavage Haute Pression, Aspirateur, ","Routex, Mobility de TotalEnergies, MOL, Aral, Visa, Carte Jubileo, Carte Club TotalEnergies, Mastercard, Eurotrafic, American Express, DKV, UTA, ","AdBlue Truck, ","Toilettes, Boutique, Baie de maintenance, Espace Pro, Wifi, AdBlue bidon, ","Assistance Club 30 Jours, Cagnotte TotalEnergies, Adhésion station, Jauge Cadeau, Carte Club acceptée, Club Truck, ","Truck, ",0
